date,bank,sentiment
2024-09-04,Bank of Abyssinia,0.0
2024-09-05,Bank of Abyssinia,0.6666666666666666
2024-09-06,Bank of Abyssinia,0.0
2024-09-07,Bank of Abyssinia,0.0
2024-09-08,Bank of Abyssinia,0.0
2024-09-10,Bank of Abyssinia,1.0
2024-09-11,Bank of Abyssinia,-1.0
2024-09-12,Bank of Abyssinia,0.0
2024-09-12,Commercial Bank of Ethiopia,1.0
2024-09-13,Bank of Abyssinia,-0.5
2024-09-14,Bank of Abyssinia,0.3333333333333333
2024-09-15,Bank of Abyssinia,0.5
2024-09-16,Bank of Abyssinia,1.0
2024-09-17,Bank of Abyssinia,0.0
2024-09-19,Bank of Abyssinia,1.0
2024-09-20,Bank of Abyssinia,1.0
2024-09-21,Bank of Abyssinia,0.0
2024-09-25,Bank of Abyssinia,1.0
2024-09-26,Bank of Abyssinia,0.0
2024-09-27,Bank of Abyssinia,-1.0
2024-09-30,Bank of Abyssinia,0.6666666666666666
2024-10-02,Bank of Abyssinia,-0.3333333333333333
2024-10-03,Bank of Abyssinia,0.25
2024-10-04,Bank of Abyssinia,0.5
2024-10-05,Bank of Abyssinia,0.0
2024-10-05,Commercial Bank of Ethiopia,0.0
2024-10-08,Bank of Abyssinia,0.0
2024-10-10,Bank of Abyssinia,-1.0
2024-10-11,Bank of Abyssinia,0.3333333333333333
2024-10-12,Bank of Abyssinia,1.0
2024-10-13,Bank of Abyssinia,-1.0
2024-10-14,Bank of Abyssinia,-1.0
2024-10-15,Bank of Abyssinia,0.0
2024-10-18,Bank of Abyssinia,1.0
2024-10-19,Bank of Abyssinia,1.0
2024-10-21,Bank of Abyssinia,0.0
2024-10-22,Bank of Abyssinia,-1.0
2024-10-24,Bank of Abyssinia,0.0
2024-10-25,Bank of Abyssinia,1.0
2024-10-26,Bank of Abyssinia,0.0
2024-10-27,Bank of Abyssinia,1.0
2024-11-01,Bank of Abyssinia,0.0
2024-11-03,Bank of Abyssinia,1.0
2024-11-04,Bank of Abyssinia,-1.0
2024-11-05,Bank of Abyssinia,0.0
2024-11-06,Bank of Abyssinia,1.0
2024-11-07,Bank of Abyssinia,-1.0
2024-11-08,Bank of Abyssinia,0.0
2024-11-11,Bank of Abyssinia,0.0
2024-11-12,Bank of Abyssinia,0.4666666666666667
2024-11-13,Bank of Abyssinia,-1.0
2024-11-14,Bank of Abyssinia,1.0
2024-11-17,Bank of Abyssinia,-1.0
2024-11-18,Bank of Abyssinia,0.0
2024-11-18,Commercial Bank of Ethiopia,0.0
2024-11-19,Bank of Abyssinia,0.5
2024-11-20,Bank of Abyssinia,0.25
2024-11-21,Bank of Abyssinia,0.5
2024-11-24,Bank of Abyssinia,0.0
2024-11-25,Bank of Abyssinia,1.0
2024-11-26,Bank of Abyssinia,-1.0
2024-11-27,Bank of Abyssinia,0.0
2024-11-28,Bank of Abyssinia,0.0
2024-11-29,Bank of Abyssinia,-1.0
2024-11-30,Bank of Abyssinia,-1.0
2024-12-01,Bank of Abyssinia,1.0
2024-12-02,Bank of Abyssinia,0.0
2024-12-06,Bank of Abyssinia,-1.0
2024-12-07,Bank of Abyssinia,0.0
2024-12-08,Bank of Abyssinia,1.0
2024-12-10,Bank of Abyssinia,-1.0
2024-12-11,Bank of Abyssinia,-1.0
2024-12-13,Bank of Abyssinia,0.5
2024-12-14,Bank of Abyssinia,-1.0
2024-12-15,Bank of Abyssinia,1.0
2024-12-16,Bank of Abyssinia,1.0
2024-12-17,Bank of Abyssinia,0.0
2024-12-19,Bank of Abyssinia,0.3333333333333333
2024-12-20,Bank of Abyssinia,-1.0
2024-12-21,Bank of Abyssinia,1.0
2024-12-22,Bank of Abyssinia,1.0
