review,rating,date,bank,source,language
"I have experienced on using the app of Banks in Ethiopia, this Dashen sup is like old version of the applications for using. I gave 3 star for it's very low speed while login and processing",3,2025-04-07,Dashen Bank,Google Play,om
proud by dashen bank,5,2025-04-06,Dashen Bank,Google Play,om
best,5,2025-04-06,Dashen Bank,Google Play,om
best of best,5,2025-04-05,Dashen Bank,Google Play,om
nice,5,2025-04-04,Dashen Bank,Google Play,om
This app is not working unless you turn off developer mode on your phone. So it takes your rights to just use it.,2,2025-04-04,Dashen Bank,Google Play,om
real super up,5,2025-04-04,Dashen Bank,Google Play,om
it's very disappointing fix it as soon as possible not expected from dashin bank fix it,1,2025-04-04,Dashen Bank,Google Play,om
why dashen bank workers hidden my ATM Card 🏧?it's a big problem to me,5,2025-04-04,Dashen Bank,Google Play,om
good,5,2025-04-04,Dashen Bank,Google Play,om
tanku,5,2025-04-04,Dashen Bank,Google Play,om
very nice,5,2025-04-04,Dashen Bank,Google Play,om
perfect,5,2025-04-03,Dashen Bank,Google Play,om
goood,5,2025-04-02,Dashen Bank,Google Play,om
why does it ask me for both pin and opt even the opt is touch let alone both,2,2025-04-02,Dashen Bank,Google Play,om
it is best app easy to use,5,2025-04-01,Dashen Bank,Google Play,om
It is very easy to use and powerful application.,3,2025-04-01,Dashen Bank,Google Play,om
this apps have a good feature but but some features like developer mode turn off irritate user,3,2025-04-01,Dashen Bank,Google Play,om
"This is not only a mobile banking app, it is beyond that. We will access our account easily, we are able to get many information easily here. i.e. exchage rate. We are able to chat with others, we are able to budget, we are able to transfer to other bank and within Dashen. we are able to access many accounts in a single app, we are able to pay bills in QR scan, we are able to make payments and order delivery items here in a single app. #Always one step ahead.",5,2025-03-31,Dashen Bank,Google Play,om
wallahi very fantastic Bank,5,2025-03-31,Dashen Bank,Google Play,om
"Waw, It's amazing app. thank you Dashen Bank.",5,2025-03-31,Dashen Bank,Google Play,om
ok,5,2025-03-30,Dashen Bank,Google Play,om
nice app,5,2025-03-29,Dashen Bank,Google Play,om
"I’ve been using the Dashen Bank Super App for a while now, and it’s been a game-changer. The app is super fast and reliable—I’ve never had an issue with transactions being delayed. One of my favorite features is the chat banking, which makes it so easy to do things like check my balance or transfer money just by typing a quick message. The budgeting tool is also really useful. It helps me keep track of my spending and gives me a clear picture of where",5,2025-03-28,Dashen Bank,Google Play,om
good,5,2025-03-28,Dashen Bank,Google Play,om
nice application,4,2025-03-27,Dashen Bank,Google Play,om
Very good app that like it too. B/c it is very fast and easy to use.,5,2025-03-26,Dashen Bank,Google Play,om
best experiences,5,2025-03-26,Dashen Bank,Google Play,om
too slow to use.,1,2025-03-26,Dashen Bank,Google Play,om
ጥሩ ነው,5,2025-03-25,Dashen Bank,Google Play,om
the worst app in the market only good ui,1,2025-03-22,Dashen Bank,Google Play,om
nic,5,2025-03-22,Dashen Bank,Google Play,om
በጣም ቅልል ያለ አፕ በርቱልን ለአጠቃቀም ምቹ,5,2025-03-22,Dashen Bank,Google Play,om
thanks for all digital transaction,5,2025-03-21,Dashen Bank,Google Play,om
Good,4,2025-03-21,Dashen Bank,Google Play,om
Best,5,2025-03-20,Dashen Bank,Google Play,om
Good,5,2025-03-20,Dashen Bank,Google Play,om
"This app is not supporting smart phones that have old android version and so it is none inclusive. At the same time the amole lite is not working properly and once you reached to maximum otp trail mistakes due to network or other errors like stacks , you will be tied up to make Transactions. Ohh... tired!!!!!",1,2025-03-20,Dashen Bank,Google Play,om
it's Be Come Busy &not working good,1,2025-03-20,Dashen Bank,Google Play,om
I wanted to share some concerns about your Supper App. It appears to be experiencing reliability issues and isn’t performing as expected. I hope this can be addressed soon to improve the user experience. One star 🌟 for now.,1,2025-03-19,Dashen Bank,Google Play,om
"best ever digital banking sector essay for understanding ,smart and convince for using",5,2025-03-19,Dashen Bank,Google Play,om
good and latest,5,2025-03-18,Dashen Bank,Google Play,om
The best App of all,5,2025-03-17,Dashen Bank,Google Play,om
Worst app ever,1,2025-03-15,Dashen Bank,Google Play,om
"This app is the most unreliable mobile banking application I have ever used for transaction, it is very late, non-responsive and full of bugs. Its is very disappointing. It is just inconvinient, and not user friendly and compatabke at all !!!!!!",1,2025-03-14,Dashen Bank,Google Play,om
Naiycapp,5,2025-03-14,Dashen Bank,Google Play,om
Good,5,2025-03-13,Dashen Bank,Google Play,om
The app is good but it has no USSD option,4,2025-03-13,Dashen Bank,Google Play,om
Hey great,5,2025-03-12,Dashen Bank,Google Play,om
I have used many mobile banking and also tellebir and mpesa nothing come close to this app. Well done Dashen indeed one step a head. A lot of cool features that amole hasn't the receipt and the account statement is superb for me. I hope you add more integrated small apps to.,5,2025-03-12,Dashen Bank,Google Play,om
The app is good but it ask update every week so tiring,2,2025-03-11,Dashen Bank,Google Play,om
It good and easy to use,5,2025-03-11,Dashen Bank,Google Play,om
በጣም አሪፍ መተግበሪያ ነው ። አመሠግናለሁ ።,5,2025-03-10,Dashen Bank,Google Play,om
"Greately improved since it was released! I really like the budget and expense tegistration feature. For ATM or POS withdrawals, it is not possible to account these expenses, even if it is visible on the transactions window. If that can be worked on, it will be improve so much!!",5,2025-03-10,Dashen Bank,Google Play,om
Excellent,5,2025-03-10,Dashen Bank,Google Play,om
Good,5,2025-03-08,Dashen Bank,Google Play,om
Wow Excellent app,5,2025-03-08,Dashen Bank,Google Play,om
Nice app but i experience some issues with others banks transfer it keeps saying account is not exist most of the time.,4,2025-03-08,Dashen Bank,Google Play,om
Add the option to send money to any telebirr account like amole does.,3,2025-03-08,Dashen Bank,Google Play,om
It's best,5,2025-03-08,Dashen Bank,Google Play,om
no one dashen yichlal,5,2025-03-07,Dashen Bank,Google Play,om
In short ! I'm so proud of this app developers for their highest professional of developing. Thanks,5,2025-03-06,Dashen Bank,Google Play,om
The speed is too slow. Need some improvements.,2,2025-03-06,Dashen Bank,Google Play,om
good app,5,2025-03-04,Dashen Bank,Google Play,om
Fantastic app,5,2025-03-01,Dashen Bank,Google Play,om
Good,5,2025-02-28,Dashen Bank,Google Play,om
I wish dark mode feature is add as an option but it's good app,5,2025-02-27,Dashen Bank,Google Play,om
"Super Up is the ultimate digital banking app, living up to its name with speed, efficiency, and innovation. Designed for a seamless experience, it offers lightning-fast transactions, top-tier security, and effortless financial management. With Super Up, banking has never been this smooth, smart, and super!",5,2025-02-26,Dashen Bank,Google Play,om
"The Dashen Super App is a game-changer in digital banking, offering a seamless and convenient experience. With its user-friendly interface, fast transactions, and a wide range of financial services, it simplifies banking for customers. Features like bill payments, fund transfers, mobile top-ups, and loan applications make it an all-in-one solution. Plus, its security measures ensure safe and reliable Experiance effortless banking",5,2025-02-26,Dashen Bank,Google Play,om
ከጰነጨየጠ,2,2025-02-26,Dashen Bank,Google Play,om
"It has good feature. But, it is Very Slow! difficult to pay or receive. The Speed should be improved, else I didn't recommend.",2,2025-02-24,Dashen Bank,Google Play,om
Excellent app,5,2025-02-24,Dashen Bank,Google Play,om
አፕልኬሽኑ አሪፍ ሆኖ ሳለ ቴሌብር ወደራስ ብቻ ለምን ሆነ እንደ ድሮው ለሰውም መላክ ቢቻል,4,2025-02-22,Dashen Bank,Google Play,om
No good,1,2025-02-22,Dashen Bank,Google Play,om
Wow amazing app,5,2025-02-21,Dashen Bank,Google Play,om
best platform... Please avoid otp,5,2025-02-21,Dashen Bank,Google Play,om
Super smart app.,5,2025-02-18,Dashen Bank,Google Play,om
best 👍👍,5,2025-02-16,Dashen Bank,Google Play,om
I don't know what happens but the application is not send verification pass code you should fix that,1,2025-02-16,Dashen Bank,Google Play,om
This app doesn't work on my phone my phone is Samsung Galaxy s7 android version 9 All other financial apps work like telebirr CBE M_pesa...,1,2025-02-14,Dashen Bank,Google Play,om
"Dashen Super app is secure, very easy to use and has more services uniquely like budgeting, chat, IPS...",5,2025-02-14,Dashen Bank,Google Play,om
Amazing and user friendly supper app and looking forward the additional features,5,2025-02-14,Dashen Bank,Google Play,om
it's amazing app i have seen ever,5,2025-02-13,Dashen Bank,Google Play,om
One star deducted for not to able to transfer to telebirr.,4,2025-02-13,Dashen Bank,Google Play,om
ጥሩ ነው ግን በደንብ ሊሸሻል ይገባል,4,2025-02-13,Dashen Bank,Google Play,om
ፍጥነቱ በጣም አሪፍ ነው! እና ቀለል ያለ ነው ! ነገር ግን ተጨማሪ ወደ ቴሌብር ኤጀንት መላኪያ አፕ ቢካተትበት ጥሩ ነው::,4,2025-02-12,Dashen Bank,Google Play,om
Keep up the good work and pleas add water and electric utility payment,5,2025-02-12,Dashen Bank,Google Play,om
The app missed some important features 1. It does't show recent transactions 2. Transfer to Telebirr limited to own telebirr 3. The statement does't show running balance,2,2025-02-11,Dashen Bank,Google Play,om
"Simple, Fast and Easy ⭐⭐⭐🎉",4,2025-02-10,Dashen Bank,Google Play,om
"የሚገርም aplication ነው, ነገር ግን ብር ትራንስፈር ሲደረግ ያለ ፒን መሆኑ risk አለው ሁሉ ጊዜ የ ትራንስፈር መደምደሚያ ፒን መሆን አለበት!!!!!!!!!!!!:: አሱ ቢስተካከል 5 star አስከዛው ግን 4 ሰጥቻለው::",4,2025-02-09,Dashen Bank,Google Play,om
Baankii daashin baankii hudna galeessa galatoomaa isinii woliin jirra Godina jimmaa magaalaa Aggaaroo irraa Muaz Abamecha Abamilki,5,2025-02-07,Dashen Bank,Google Play,om
Good,5,2025-02-07,Dashen Bank,Google Play,om
It doesn't work,1,2025-02-07,Dashen Bank,Google Play,om
"#Dashen Super App; Super easy to use, secure, and fast transaction. Love it!",5,2025-02-07,Dashen Bank,Google Play,om
"I tried the new Dash Bank Super App today, and it's amazingly easy and fun.I recommend you download and use it. You really like it",5,2025-02-06,Dashen Bank,Google Play,om
Gud app kegza ga mezmn endze new aind ermjh kedme nachu hlam,5,2025-02-06,Dashen Bank,Google Play,om
"Good app, bad security",3,2025-02-06,Dashen Bank,Google Play,om
On Transaction page only show sent Transaction. Try to include received transaction.,4,2025-02-06,Dashen Bank,Google Play,om
Wonderful Application 😍,5,2025-02-05,Dashen Bank,Google Play,om
I loved it,5,2025-02-05,Dashen Bank,Google Play,om
አሁን ገና አንድ እርምጃ ቀደማችው,5,2025-02-04,Dashen Bank,Google Play,om
I am so thankful for having this best app Dashen one step ahead,5,2025-02-04,Dashen Bank,Google Play,om
Not good this app,1,2025-02-04,Dashen Bank,Google Play,om
Best app,5,2025-02-04,Dashen Bank,Google Play,om
Excellent app ever but it needs improvement on speed and transaction lists,1,2025-02-03,Dashen Bank,Google Play,om
Perfect,5,2025-02-02,Dashen Bank,Google Play,om
"It does not work functional ,",1,2025-02-02,Dashen Bank,Google Play,om
Ok,5,2025-02-02,Dashen Bank,Google Play,om
all of dashen bank customers use the application it is good to use,5,2025-02-01,Dashen Bank,Google Play,om
Gret experience,5,2025-02-01,Dashen Bank,Google Play,om
All good we need more,3,2025-01-31,Dashen Bank,Google Play,om
"Dashen super app is easy to use, fast and robust",5,2025-01-31,Dashen Bank,Google Play,om
it was amazing app.....thank you dashen bank....,5,2025-01-30,Dashen Bank,Google Play,om
Dashen bank super app for easy life.,5,2025-01-30,Dashen Bank,Google Play,om
Excellent UI/UX and beyond Banking services👍👍,5,2025-01-30,Dashen Bank,Google Play,om
Send to oher bank የሚለዉ ዉስጥ ገብተን ወደ addisinternational bank ለመላክ አይሰራም ሁለተኛ ደግሞ ወደ cbe birr ለመላክ account number ይጠይቃል ሞባይል ነበር ነዉ መጠየቅ ያለበት ይመስለኛል,2,2025-01-29,Dashen Bank,Google Play,om
Best,5,2025-01-29,Dashen Bank,Google Play,om
Just Wow,5,2025-01-29,Dashen Bank,Google Play,om
mobile banking to the next level,5,2025-01-28,Dashen Bank,Google Play,om
Nice,5,2025-01-25,Dashen Bank,Google Play,om
The first 3 star review is me,3,2025-01-25,Dashen Bank,Google Play,om
Is not working,1,2025-01-25,Dashen Bank,Google Play,om
"Fast, reliable and user friendly. Amazing chatting features. Keep it up! Always one step ahead!",5,2025-01-24,Dashen Bank,Google Play,om
V good ❗️,5,2025-01-24,Dashen Bank,Google Play,om
"This app is literally the best thing ever The chat banking is so easy just text and it’s done Super smooth, fast, and honestly a life saverIf you haven’t downloaded it yet you’re missing out big time",5,2025-01-23,Dashen Bank,Google Play,om
I only see white page,2,2025-01-23,Dashen Bank,Google Play,om
Excellent banking app for all your needs! Who needs a physical branch when you can use Dashen Bank Super App Instead! I've never had an issue with anything that Dashen Bank Super App haven't handled swiftly and resolved to my satisfaction and above I don't often write reviews but this is an app/bank that I would highly recommended to everyone 💯 👌👍,5,2025-01-22,Dashen Bank,Google Play,om
Amizing Application 😍,5,2025-01-22,Dashen Bank,Google Play,om
Fastest and easy to use,5,2025-01-22,Dashen Bank,Google Play,om
Ok,5,2025-01-21,Dashen Bank,Google Play,om
ጥሩ ነው,5,2025-01-21,Dashen Bank,Google Play,om
ስም ብቻ 😏,2,2025-01-21,Dashen Bank,Google Play,om
Exellent app with exellent banking system and exellent bank ever,5,2025-01-21,Dashen Bank,Google Play,om
Amazing app to use as usual! But why option of transferring to Telebirr and M pesa which was available on Amole app is omitted?? Dasheen is my favourite keep it up.,4,2025-01-20,Dashen Bank,Google Play,om
Needs some improvement,5,2025-01-20,Dashen Bank,Google Play,om
Amazing,5,2025-01-20,Dashen Bank,Google Play,om
Amazing super app,5,2025-01-19,Dashen Bank,Google Play,om
I hope it will be better than amole,5,2025-01-18,Dashen Bank,Google Play,om
Wly Super App ilove it ❤️ 😍 💖 💕,5,2025-01-18,Dashen Bank,Google Play,om
Wow,5,2025-01-17,Dashen Bank,Google Play,om
Dashen yichalal. Ewnetem one step a head,5,2025-01-17,Dashen Bank,Google Play,om
It has a Good performance but need more upgrade for more performance like when we login account not be fast balance show other thing looking good. Carry on. Thanks so much for Greatest service,4,2025-01-17,Dashen Bank,Google Play,om
"It is a very wonderful work that has saved its time. That is why it is ""Always one step ahead!""",5,2025-01-17,Dashen Bank,Google Play,om
“Life-changing!” I can’t imagine going back to traditional banking after using this app. It’s so convenient.,5,2025-01-17,Dashen Bank,Google Play,om
Pro max,5,2025-01-17,Dashen Bank,Google Play,om
The most good app and easy,5,2025-01-16,Dashen Bank,Google Play,om
"Excellent and user friendly App. Excellence is what makes you always one step ahead. Dashen Bank, Always One Step Ahead !!",5,2025-01-16,Dashen Bank,Google Play,om
Proud to be dashen family . Shout out to the serial entrepreneur 👏,5,2025-01-16,Dashen Bank,Google Play,om
Excellent app.,5,2025-01-16,Dashen Bank,Google Play,om
First ATM in East africa ⭐️⭐️⭐️⭐️⭐️,5,2025-01-16,Dashen Bank,Google Play,om
Best app.,5,2025-01-16,Dashen Bank,Google Play,om
Better Move to catch the competition up👍,5,2025-01-16,Dashen Bank,Google Play,om
"Great job my home, my bank.",5,2025-01-16,Dashen Bank,Google Play,om
Wow,5,2025-01-16,Dashen Bank,Google Play,om
Always one step ahead! What a masterpiece.,5,2025-01-16,Dashen Bank,Google Play,om
Great App Well done Dashen Bank,5,2025-01-15,Dashen Bank,Google Play,om
Great!,5,2025-01-15,Dashen Bank,Google Play,om
Nice,5,2025-01-15,Dashen Bank,Google Play,om
"I love it but it has bugs during confirmation of password! So, please make it functional",5,2025-01-15,Dashen Bank,Google Play,om
Always one step forward,5,2025-01-15,Dashen Bank,Google Play,om
"It's great! But it will be advanced if you include a caption that allow customers to transfer to Telebirr account. Dashen Bank, ""ኩሉ ግዜ፡ ሓደ ስጕሚ ቀዳሚ።"" (Always one step ahead!)",4,2025-01-15,Dashen Bank,Google Play,om
Small size with vast features and functionalities.,5,2025-01-15,Dashen Bank,Google Play,om
Amazing app 👏 👌 Dashen bank one step a head,5,2025-01-15,Dashen Bank,Google Play,om
Best app,5,2025-01-15,Dashen Bank,Google Play,om
"It has a great application features from the beginning. I'm glad to use it even I haven't used it yet because I haven't activated my account yet. But it's simple, comprehensive, full of information, and fast. በርቱ ዳሸኖች: The super app has impressed me more than I expected.",5,2025-01-15,Dashen Bank,Google Play,om
Dashen Bank Always One Step Ahead!,5,2025-01-15,Dashen Bank,Google Play,om
U can't create account,1,2025-01-15,Dashen Bank,Google Play,om
Really super app... so seamless and with a nice user interface .. we are proud of you dashen bank ...,5,2025-01-15,Dashen Bank,Google Play,om
We will see it,2,2025-01-15,Dashen Bank,Google Play,om
Always one step a head!,5,2025-01-15,Dashen Bank,Google Play,om
"A lightweight,catchy and smooth app",5,2025-01-15,Dashen Bank,Google Play,om
Very impressive interface with best security feature and user friendly app.,5,2025-01-15,Dashen Bank,Google Play,om
It is so far so good it has a unique features than telebirr good job Dashen,5,2025-01-15,Dashen Bank,Google Play,om
"Yea , it's a good idea to make it with the bank name, it will help for the bank easily to find the application, and customers can easily downloed and use the product. I wish all the best for Dashen bank initiative.",5,2025-01-15,Dashen Bank,Google Play,om
This is My Bank!,5,2025-01-15,Dashen Bank,Google Play,om
Dashen Bank Always One Step Ahead!,5,2025-01-14,Dashen Bank,Google Play,om
"Truly, db => AlwaysOneStepAhead !!",5,2025-01-14,Dashen Bank,Google Play,om
ALWAYS ONE STEP AHEAD,5,2025-01-14,Dashen Bank,Google Play,om
Well developed,5,2025-01-14,Dashen Bank,Google Play,om
oh nice!!! i wish it's very nice app,5,2025-01-14,Dashen Bank,Google Play,om
Really the app looks like amazing. I can't wait to activate in the morning.,5,2025-01-14,Dashen Bank,Google Play,om
Applause 👏 Dashen Bank. One of the best super app inorder to pay easily and securely. One step a head.,5,2025-01-14,Dashen Bank,Google Play,om
Wow Dashen Super App 🚀🚀,5,2025-01-14,Dashen Bank,Google Play,om
All in One,5,2025-01-14,Dashen Bank,Google Play,om
The best Banking app I have ever seen,5,2025-01-14,Dashen Bank,Google Play,om
It looks good and simple to use,5,2025-01-14,Dashen Bank,Google Play,om
Best,5,2025-01-14,Dashen Bank,Google Play,om
App That makes Difference!,5,2025-01-14,Dashen Bank,Google Play,om
Faster and userfriendly,5,2025-01-14,Dashen Bank,Google Play,om
Best,5,2025-01-13,Dashen Bank,Google Play,om
"Waw Great and innovated,user friendly, always one step ahead",5,2025-01-13,Dashen Bank,Google Play,om
It's Best waww 🙏,5,2025-01-13,Dashen Bank,Google Play,om
Always one step ahead,5,2025-01-13,Dashen Bank,Google Play,om
"Like Me, I Hope It Works Better Than Before.",5,2025-01-11,Dashen Bank,Google Play,om
it's not working,3,2025-06-05,Bank of Abyssinia,Google Play,en
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,Bank of Abyssinia,Google Play,en
exceptional,5,2025-06-03,Bank of Abyssinia,Google Play,en
BoA Mobile good bank,5,2025-06-02,Bank of Abyssinia,Google Play,en
this is worest app 24/7 loading,1,2025-06-01,Bank of Abyssinia,Google Play,en
This App is not interest for Android phone Please update it .,1,2025-06-01,Bank of Abyssinia,Google Play,en
BoA system is confartable,5,2025-06-01,Bank of Abyssinia,Google Play,en
very nice Abyssinia bank is choice all,5,2025-05-31,Bank of Abyssinia,Google Play,en
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,Bank of Abyssinia,Google Play,en
Good service.,3,2025-05-25,Bank of Abyssinia,Google Play,en
the app crush frequently,1,2025-05-24,Bank of Abyssinia,Google Play,en
good,5,2025-05-22,Bank of Abyssinia,Google Play,en
You guys keeps getting worst,1,2025-05-22,Bank of Abyssinia,Google Play,en
good,5,2025-05-21,Bank of Abyssinia,Google Play,en
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,Bank of Abyssinia,Google Play,en
BoA,2,2025-05-20,Bank of Abyssinia,Google Play,en
good,5,2025-05-20,Bank of Abyssinia,Google Play,en
but not opening on android,4,2025-05-19,Bank of Abyssinia,Google Play,en
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,Bank of Abyssinia,Google Play,en
amazing,5,2025-05-18,Bank of Abyssinia,Google Play,en
excellent app,4,2025-05-16,Bank of Abyssinia,Google Play,en
excellent,5,2025-05-15,Bank of Abyssinia,Google Play,en
ሞላዬ ከበደ,5,2025-05-14,Bank of Abyssinia,Google Play,en
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,Bank of Abyssinia,Google Play,en
nice,5,2025-05-10,Bank of Abyssinia,Google Play,en
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,Bank of Abyssinia,Google Play,en
Best app,5,2025-05-09,Bank of Abyssinia,Google Play,en
liking this application good 👍,5,2025-05-07,Bank of Abyssinia,Google Play,en
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,Bank of Abyssinia,Google Play,en
good,5,2025-05-06,Bank of Abyssinia,Google Play,en
good,5,2025-05-02,Bank of Abyssinia,Google Play,en
good,4,2025-04-30,Bank of Abyssinia,Google Play,en
good,4,2025-04-30,Bank of Abyssinia,Google Play,en
wow,5,2025-04-28,Bank of Abyssinia,Google Play,en
it's really good 👍,5,2025-04-23,Bank of Abyssinia,Google Play,en
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,Bank of Abyssinia,Google Play,en
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,Bank of Abyssinia,Google Play,en
Best,2,2025-04-19,Bank of Abyssinia,Google Play,en
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,Bank of Abyssinia,Google Play,en
yideg,1,2025-04-18,Bank of Abyssinia,Google Play,en
አይከፍትም እኮ,1,2025-04-17,Bank of Abyssinia,Google Play,en
great boa,5,2025-04-10,Bank of Abyssinia,Google Play,en
Best,5,2025-04-10,Bank of Abyssinia,Google Play,en
boa of mobile backing,5,2025-04-09,Bank of Abyssinia,Google Play,en
nice,5,2025-04-09,Bank of Abyssinia,Google Play,en
faster bank of Abissinya,5,2025-04-08,Bank of Abyssinia,Google Play,en
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Bank of Abyssinia,Google Play,en
it just doesn't work...so frustrating,1,2025-04-07,Bank of Abyssinia,Google Play,en
like,5,2025-04-06,Bank of Abyssinia,Google Play,en
it's not work correctly... you must have update it,1,2025-04-06,Bank of Abyssinia,Google Play,en
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,Bank of Abyssinia,Google Play,en
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,Bank of Abyssinia,Google Play,en
good but they don't update enough don't add new things,3,2025-04-04,Bank of Abyssinia,Google Play,en
very good,5,2025-04-03,Bank of Abyssinia,Google Play,en
thank you,5,2025-04-02,Bank of Abyssinia,Google Play,en
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,Bank of Abyssinia,Google Play,en
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,Bank of Abyssinia,Google Play,en
good application,5,2025-03-30,Bank of Abyssinia,Google Play,en
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,Bank of Abyssinia,Google Play,en
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,Bank of Abyssinia,Google Play,en
always problematic hardly works,1,2025-03-26,Bank of Abyssinia,Google Play,en
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,Bank of Abyssinia,Google Play,en
best app,5,2025-03-25,Bank of Abyssinia,Google Play,en
very good,5,2025-03-25,Bank of Abyssinia,Google Play,en
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,Bank of Abyssinia,Google Play,en
great BoA,5,2025-03-22,Bank of Abyssinia,Google Play,en
best,5,2025-03-21,Bank of Abyssinia,Google Play,en
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,Bank of Abyssinia,Google Play,en
good,5,2025-03-21,Bank of Abyssinia,Google Play,en
good,5,2025-03-19,Bank of Abyssinia,Google Play,en
there is no speed,1,2025-03-19,Bank of Abyssinia,Google Play,en
"For anyone who wants to download it, just don't!!!",1,2025-03-19,Bank of Abyssinia,Google Play,en
wonderful,5,2025-03-19,Bank of Abyssinia,Google Play,en
all worck,5,2025-03-19,Bank of Abyssinia,Google Play,en
Best app,5,2025-03-17,Bank of Abyssinia,Google Play,en
Loved it,5,2025-03-14,Bank of Abyssinia,Google Play,en
Wow,1,2025-03-14,Bank of Abyssinia,Google Play,en
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,Bank of Abyssinia,Google Play,en
Improved to be the best,5,2025-03-11,Bank of Abyssinia,Google Play,en
BoA,5,2025-03-11,Bank of Abyssinia,Google Play,en
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,Bank of Abyssinia,Google Play,en
BoA Greqt Ethiopian bank.,5,2025-03-11,Bank of Abyssinia,Google Play,en
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,Bank of Abyssinia,Google Play,en
Almost better compared to cbe where it is not qualified for,4,2025-03-09,Bank of Abyssinia,Google Play,en
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,Bank of Abyssinia,Google Play,en
Wonderfull app,5,2025-03-08,Bank of Abyssinia,Google Play,en
i can't use this app why?,5,2025-03-07,Bank of Abyssinia,Google Play,en
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,Bank of Abyssinia,Google Play,en
Wow,4,2025-03-05,Bank of Abyssinia,Google Play,en
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,Bank of Abyssinia,Google Play,en
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,Bank of Abyssinia,Google Play,en
Good app,5,2025-03-03,Bank of Abyssinia,Google Play,en
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,Bank of Abyssinia,Google Play,en
It has good features but sometimes it doesn't work...0,1,2025-03-02,Bank of Abyssinia,Google Play,en
Very poor proformance,1,2025-03-01,Bank of Abyssinia,Google Play,en
It's not opening. Really frustrating,1,2025-03-01,Bank of Abyssinia,Google Play,en
Verry Amazing App from all IB,5,2025-03-01,Bank of Abyssinia,Google Play,en
Not working on this days,1,2025-02-26,Bank of Abyssinia,Google Play,en
Thank you BoA,5,2025-02-23,Bank of Abyssinia,Google Play,en
best banking app in the wworld,5,2025-02-22,Bank of Abyssinia,Google Play,en
Nice app and it's easy to use,5,2025-02-21,Bank of Abyssinia,Google Play,en
